MGI_ID,MGI_Symbol
MGI:88362,Cdx4
MGI:88373,Cebpb
MGI:88374,Cel
MGI:88375,Cenpa
MGI:88376,Cenpb
MGI:88378,Ces1g
MGI:88385,Cfh
MGI:88388,Cftr
MGI:88390,Cga
MGI:88392,Chat
MGI:88393,Chd1
MGI:88394,Chga
MGI:88395,Chgb
MGI:88396,Chrm1
MGI:88397,Chrm2
MGI:88398,Chrm3
MGI:88399,Chrm4
MGI:88401,Vsx2
MGI:88407,Ckb
MGI:88413,Ckm
MGI:88421,Clps
MGI:88423,Clu
MGI:88426,Cma2
MGI:88431,Cnbp
MGI:88436,Cnga1
MGI:88437,Cnp
MGI:88439,Cntf
MGI:88445,Col10a1
MGI:88446,Col11a1
MGI:88447,Col11a2
MGI:88448,Col12a1
MGI:88449,Col15a1
MGI:88450,Col17a1
MGI:88451,Col18a1
MGI:88452,Col2a1
MGI:88453,Col3a1
MGI:88454,Col4a1
MGI:88455,Col4a2
MGI:88456,Col4a5
MGI:88457,Col5a1
MGI:88458,Col5a2
MGI:88459,Col6a1
MGI:88460,Col6a2
MGI:88461,Col6a3
MGI:88462,Col7a1
MGI:88463,Col8a1
MGI:88464,Col8a2
MGI:88465,Col9a1
MGI:88466,Col9a2
MGI:88467,Col1a1
MGI:88468,Col1a2
MGI:88469,Comp
MGI:88470,Comt
MGI:88473,Cox4i1
MGI:88474,Cox5a
MGI:88475,Cox5b
MGI:88476,Cp
MGI:88478,Cpa1
MGI:88479,Cpa3
MGI:88487,Cpz
MGI:88489,Cr2
MGI:88490,Crabp1
MGI:88491,Crabp2
MGI:88494,Creb1
MGI:88495,Crem
MGI:88496,Crh
MGI:88497,Crhbp
MGI:88498,Crhr1
MGI:88501,Crip1
MGI:88508,Crk
MGI:88512,Crp
MGI:88513,Cr1l
MGI:88515,Cryaa
MGI:88516,Cryab
MGI:88518,Cryba1
MGI:88519,Crybb2
MGI:88521,Cryga
MGI:88522,Crygb
MGI:88523,Crygc
MGI:88524,Crygd
MGI:88525,Cryge
MGI:88526,Crygf
MGI:88527,Cryz
MGI:88529,Cs
MGI:88537,Csk
MGI:88540,Csn1s1
MGI:88541,Csn2
MGI:88542,Csn1s2a
MGI:88543,Csnk2a1
MGI:88547,Csnk2a2
